CustomerID,prob_no_churn,prob_churn,y_pred
9355-NPPFS,0.5000766447235875,0.4999233552764125,0
4581-LNWUM,0.5001894360809322,0.4998105639190677,0
0637-UBJRP,0.5002724619945088,0.4997275380054912,0
7901-HXJVA,0.5005178678709437,0.49948213212905634,0
5569-OUICF,0.5008498417852049,0.49915015821479514,0
4905-JEFDW,0.5008689741440432,0.4991310258559568,0
2931-FSOHN,0.5009489565681269,0.49905104343187306,0
0577-WHMEV,0.5009646953565252,0.49903530464347484,0
2187-LZGPL,0.5012638446791715,0.4987361553208285,0
8685-WHQPW,0.5015316290673053,0.4984683709326947,0
8630-FJLIB,0.5018775825463203,0.4981224174536797,0
8949-JTMAY,0.5027103853411597,0.49728961465884025,0
1942-OQFRW,0.5031005532022897,0.49689944679771025,0
4013-TLDHQ,0.5032536368389089,0.4967463631610911,0
8645-KWHJO,0.5032558660412907,0.49674413395870937,0
3926-CUQZX,0.5032968294957032,0.49670317050429685,0
7359-PTSXY,0.5034857921397233,0.49651420786027667,0
4546-FOKWR,0.5035033496689894,0.49649665033101065,0
4607-CHPCA,0.5039184875121414,0.49608151248785853,0
9269-CQOOL,0.5039777905602889,0.49602220943971115,0
2359-KMGLI,0.5040909494452461,0.4959090505547538,0
4816-LXZYW,0.5043143175826303,0.4956856824173696,0
5480-TBGPH,0.5043239816230334,0.4956760183769666,0
4065-JJAVA,0.5045305517637728,0.4954694482362272,0
6689-KXGBO,0.5045806789751717,0.49541932102482833,0
0224-HJAPT,0.5046284090642827,0.49537159093571725,0
2956-GGUCQ,0.5047997274108276,0.4952002725891724,0
7268-IGMFD,0.50490239961323,0.4950976003867699,0
5916-QEWPT,0.5050030446941262,0.49499695530587384,0
1965-DDBWU,0.5050710786122636,0.4949289213877364,0
2792-LSHWX,0.5051926831423398,0.4948073168576602,0
8993-IZEUX,0.5052138511824016,0.4947861488175984,0
9643-YBLUR,0.5053312894023331,0.4946687105976669,0
1612-EOHDH,0.50539015350968,0.49460984649032,0
2207-NHRJK,0.505398070192491,0.49460192980750906,0
6366-ZGQGL,0.5054425267263715,0.49455747327362853,0
4257-GAESD,0.5056369403589174,0.4943630596410826,0
0337-CNPZE,0.505931266903457,0.494068733096543,0
1894-IGFSG,0.506049182158037,0.49395081784196304,0
3961-SXAXY,0.5068502637757395,0.49314973622426045,0
3647-GMGDH,0.5072124400229082,0.4927875599770918,0
8280-MQRQN,0.5072616535564825,0.4927383464435176,0
6946-LMSQS,0.5073244489378964,0.4926755510621036,0
3137-LUPIX,0.5075415907946196,0.4924584092053804,0
9851-QXEEQ,0.5075582450107019,0.49244175498929815,0
8519-QJGJD,0.5076576921354543,0.4923423078645457,0
1689-YQBYY,0.5076756904923244,0.4923243095076756,0
3951-NJCVI,0.5077728044179592,0.4922271955820408,0
0147-ESWWR,0.507991056238186,0.49200894376181403,0
6017-PPLPX,0.508054266368487,0.4919457336315129,0
5482-VXSXJ,0.5080848962907307,0.49191510370926933,0
6317-YPKDH,0.5081694117192876,0.4918305882807123,0
1471-GIQKQ,0.5083285241298467,0.4916714758701532,0
6135-OZQVA,0.5083555709552146,0.49164442904478545,0
5626-MGTUK,0.5085344782133935,0.4914655217866065,0
6650-VJONK,0.5085831699866123,0.4914168300133876,0
7422-WNBTY,0.5089779590424715,0.4910220409575286,0
7020-OZKXZ,0.5093389226322844,0.4906610773677156,0
8601-QACRS,0.5093848626662985,0.4906151373337016,0
9889-TMAHG,0.5098388631433128,0.4901611368566871,0
5759-RCVCB,0.5103296040910156,0.4896703959089844,0
3096-JRDSO,0.510391023716456,0.48960897628354405,0
0708-LGSMF,0.5105483947628503,0.4894516052371497,0
8634-MPHTR,0.5108231068502462,0.48917689314975377,0
0601-WZHJF,0.5109631193066948,0.48903688069330514,0
8982-NHAVY,0.5110034196287963,0.4889965803712038,0
5959-BELXA,0.511138422366826,0.4888615776331739,0
7326-RIGQZ,0.5112170679453513,0.48878293205464873,0
0354-WYROK,0.511263639001601,0.48873636099839907,0
5899-OUVKV,0.5115176530778534,0.48848234692214665,0
9552-TGUZV,0.511631132228928,0.488368867771072,0
9026-LHEVG,0.5116433535278113,0.48835664647218874,0
6047-YHPVI,0.511680732860116,0.48831926713988405,0
3627-FHKBK,0.5120841846482056,0.48791581535179446,0
0682-USIXD,0.5122300994883965,0.4877699005116035,0
7242-QZLXF,0.5122872385186374,0.48771276148136256,0
1258-YMZNM,0.5123885114599493,0.4876114885400506,0
7979-CORPM,0.5126243337140901,0.4873756662859099,0
2697-NQBPF,0.5126448168894691,0.48735518311053094,0
5022-KVDQT,0.5128629409149706,0.48713705908502936,0
7395-IGJOS,0.5129546859731642,0.4870453140268358,0
8818-DOPVL,0.5129636670794944,0.4870363329205057,0
5692-FPTAH,0.5133778339396107,0.4866221660603893,0
9620-ENEJV,0.5133820259599571,0.486617974040043,0
9026-RNUJS,0.5133968257027677,0.48660317429723227,0
7495-OOKFY,0.5135630170664138,0.4864369829335862,0
4433-JCGCG,0.5140614152829479,0.48593858471705204,0
4237-RLAQD,0.5140758129743415,0.48592418702565854,0
4537-DKTAL,0.5145085198342665,0.4854914801657335,0
5133-POWUA,0.5148713446009112,0.4851286553990888,0
1346-UFHAX,0.514887799722024,0.485112200277976,0
0207-MDKNV,0.5149975149450208,0.48500248505497917,0
6217-TOWGS,0.5150159677140802,0.4849840322859198,0
6559-PDZLR,0.5150249172970888,0.48497508270291123,0
3987-KQDDU,0.5152151392365697,0.4847848607634303,0
5968-VXZLG,0.515434372847638,0.48456562715236196,0
6595-COKXZ,0.5155559686850875,0.48444403131491254,0
2694-CIUMO,0.5159004267331662,0.4840995732668338,0
0927-LCSMG,0.5159473153257093,0.4840526846742908,0
1660-HSOOQ,0.5159494761008165,0.4840505238991835,0
